Displacement	Force
-113.1062	-65.73581903
-112.268	-40.76350288
-101.3968	-51.81288537
-95.2754	-63.42719201
-94.7928	-67.51065945
-93.345	-64.41914543
-75.9206	-65.13086089
-74.8792	-67.67079543
-56.6166	-66.92794242
-56.2102	-63.20033271
-53.7040582	-60.95842901
-37.7952	-63.59622443
-36.6945418	-60.79829303
-36.0299	-60.77605193
-31.5468	-7.010397265
-27.9654	-62.50641013
-27.6267418	-59.84637361
-27.5674582	-60.55808907
-19.0754	-56.41679474
-18.4869582	-57.59112525
-18.1186582	-58.48521779
-9.5969582	-40.40764515
-9.017	-39.60696526
-8.8392	-37.36950979
-5.1816	-27.05408386
-5.08	-27.2053234
-4.9784	-26.96956765
-4.826	-26.65374392
-4.6185582	-25.61286006
-4.5296582	-24.41184022
-4.4788582	-25.4571723
-4.3053	-24.17163626
-4.2926	-13.66938502
-4.2672	-23.43323147
-4.2418	-23.36205992
-4.2164	-23.30423304
-4.1994582	-23.21526861
-4.1952418	-23.05513263
-4.191	-23.2553026
-4.1867582	-23.1307524
-4.1825418	-23.15744173
-4.1783	-23.18857928
-4.1740582	-23.14409706
-4.1656	-23.21971683
-4.1613582	-23.17078639
-4.1486582	-23.15744173
-4.1444418	-23.15744173
-4.1402	-23.18857928
-4.1232582	-23.07737374
-4.1190418	-23.09961485
-4.1148	-23.1307524
-4.1063418	-23.09961485
-4.1021	-23.0684773
-4.0978582	-23.08627018
-4.0936418	-23.08182196
-4.0894	-23.09961485
-4.0767	-23.1307524
-4.0724582	-23.08182196
-4.0682418	-23.0684773
-4.0470582	-23.06402907
-4.0386	-23.13964884
-4.0301418	-23.04178797
-4.0132	-23.09961485
-3.9878	-23.07737374
-3.9624	-22.87720377
-3.937	-23.03289152
-3.9116	-22.89054843
-3.8862	-22.84161799
-3.8608	-22.83272155
-3.8354	-22.72151601
-3.81	-22.72151601
-3.7846	-22.62365513
-3.7592	-22.55248359
-3.7084	-22.49020849
-3.683	-22.45017449
-3.6576	-22.19217764
-3.6322	-22.11655787
-3.6068	-22.13435076
-3.5814	-22.04538632
-3.556	-21.96087011
-3.5306	-21.88969857
-3.4798	-21.84521635
-3.4671	-21.79628591
-3.4544	-21.69397682
-3.429	-21.63170171
-3.4036	-12.8420158
-3.3782	-21.5872195
-3.3528	-21.30253331
-3.3274	-21.3826013
-3.2766	-21.16019022
-3.2512	-21.12460445
-3.2004	-20.90664159
-3.175	-20.83991827
-3.1496	-20.80878071
-3.1242	-20.65309296
-3.0988	-20.50185342
-3.0734	-20.45292299
-3.048	-20.26609768
-2.9972	-19.99030794
-2.9718	-20.10151348
-2.9464	-19.73231108
-2.921	-19.79458619
-2.8702	-19.56327866
-2.8448	-19.44317668
-2.794	-19.2830407
-2.7686	-19.17628338
-2.7432	-19.17628338
-2.7135582	-18.8915972
-2.6966418	-18.7892881
-2.6839418	-18.73146122
-2.6585418	-18.68253078
-2.6373582	-18.61580746
-2.6162	-18.63804857
-2.6035	-18.52684303
-2.5654	-18.58466991
-2.5484582	-18.58022169
-2.54	-18.727013
-2.5146	-18.76704699
-2.4849582	-18.65139323
-2.4384	-18.727013
-2.413	-18.54463591
-2.3876	-18.48680903
-2.3622	-18.26439795
-2.3368	-18.28219084
-2.3114	-18.1309513
-2.286	-18.16208885
-2.2606	-17.96191888
-2.2352	-17.94857422
-2.2225	-9.959568196
-2.2098	-17.85071334
-2.1844	-17.74395602
-2.1336	-17.56157894
-2.1082	-17.3480643
-2.0828	-17.25909987
-2.0574	-17.17903188
-2.0066	-17.12565322
-1.9812	-16.95217257
-1.9558	-16.86320814
-1.9304	-16.7520026
-1.905	-16.72531327
-1.8796	-16.57407374
-1.8542	-16.47621286
-1.8288	-16.32497333
-1.8034	-16.27604289
-1.778	-16.13814802
-1.7441418	-15.95132271
-1.7356582	-15.95132271
-1.7187418	-4.497152053
-1.7018	-15.91128872
-1.6764	-15.73780807
-1.651	-15.73780807
-1.6171418	-15.84011717
-1.6002	-16.01359781
-1.5790418	-16.05808003
-1.5494	-16.20042312
-1.5155418	-16.06697647
-1.4986	-16.04028714
-1.4732	-15.97801204
-1.4478	-15.84901361
-1.4224	-15.62215431
-1.397	-15.56432743
-1.3716	-15.42198434
-1.3208	-15.25740014
-1.27	-14.95936929
-1.2446	-14.8170262
-1.2192	-14.61685623
-1.1938	-14.43447914
-1.1684	-14.2609985
-1.143	-14.39444515
-1.1176	-14.19427517
-1.0922	-14.07862141
-1.0414	-13.79838345
-1.016	-13.62490281
-0.9906	-13.44697394
-0.9652	-13.19342531
-0.9398	-13.12225376
-0.9144	-12.98435889
-0.889	-12.78418892
-0.8636	-12.62405294
-0.8382	-12.57957073
-0.8128	-12.3260221
-0.7874	-12.16588612
-0.762	-12.02354303
-0.7112	-11.6676853
-0.6858	-11.62320308
-0.6604	-11.32517223
-0.635	-11.18727736
-0.6180582	-11.0093485
-0.6096	-10.94707339
-0.5588	-10.93372873
-0.508	-10.5155959
-0.4826	-10.19532394
-0.4614418	-37.01365206
-0.4572	-10.41773502
-0.4318	-10.16863461
-0.4064	-9.821673326
-0.381	-9.710467786
-0.3556	-9.470263818
-0.3302	-9.265645624
-0.2794	-9.012096992
-0.254	-34.49595862
-0.2286	-8.233658209
-0.2032	-8.006798907
-0.1778	-7.744353832
-0.1524	-7.93117914
-0.127	-7.539735637
-0.1016	-7.441874762
-0.0889	-7.192774351
-0.0762	-7.121602806
-0.0508	-6.890295282
-0.0254	-6.872502395
0.0	-6.654539536
0.0254	1.196571614
0.0508	-6.303130028
0.0762	-6.183028045
0.1016	-6.00509918
0.1354582	-5.791584543
0.1524	-5.613655678
0.1778	-5.515794803
0.1905	3.291683995
0.2032	-5.471312586
0.2243582	-5.164385295
0.2286	-5.133247744
0.254	-4.893043777
0.2794	-4.844113339
0.3048	-4.777390015
0.3302	5.062076198
0.3598418	-4.265844529
0.381	-4.136846102
0.4064	6.000650959
0.4318	-3.732057935
0.4572	4.46156628
0.4826	-3.398441314
0.508	6.930329276
0.5334	-2.980308482
0.5588	-2.771242066
0.5842	7.797732491
0.6096	-2.655588304
0.635	-2.370902121
0.6604	6.040684953
0.6731	-1.401189809
0.6858	8.75854836
0.7366	-1.908287073
0.762	-1.703668879
0.7747	9.554780029
0.7874	-1.547981122
0.8128	-1.427879138
0.8382	-1.356707593
0.8593582	10.41773502
0.8636	-1.12984829
0.889	-1.036435636
0.9144	-0.88074788
0.9398	11.21396669
0.9652	-0.533786594
0.9906	-0.106757319
1.016	11.88564816
1.0414	0.133446648
1.0498582	-0.369202394
1.0668	0.035585773
1.0922	12.65963872
1.1176	0.658336799
1.1684	13.3357684
1.1938	1.214364501
1.2192	13.81172811
1.2361418	0.146791313
1.2446	1.427879138
1.2615418	1.427879138
1.2954	14.41223803
1.3208	14.88374952
1.3462	1.966113954
1.3716	2.326419905
1.397	2.393143229
1.4139418	15.28853769
1.4224	2.473211218
1.4351	0.818472777
1.4478	15.80897962
1.4732	2.829068947
1.524	3.069272914
1.5494	3.207167784
1.5578582	16.16928557
1.5748	3.407337757
1.6002	3.576370178
1.6256	10.27539193
1.651	16.65858995
1.6764	4.101260329
1.7018	4.096812107
1.7272	16.91213858
1.7526	4.617254036
1.778	17.32137497
1.8034	17.5749236
1.8288	4.893043777
1.8542	5.164385295
1.8796	5.404589262
1.905	17.94412599
1.9304	5.675930781
1.9558	18.00195288
1.9812	5.75599877
2.0066	18.21101929
2.0404582	3.042583585
2.0531582	6.214165596
2.0828	18.48236081
2.1082	6.49885178
2.1336	6.601160877
2.159	18.58022169
2.2098	7.201670795
2.2225	18.75370233
2.2352	7.268394119
2.2606	7.499701643
2.2648418	3.861056362
2.286	7.784387826
2.2902418	18.78483988
2.3198582	7.922282696
2.3368	8.073522231
2.3452582	18.81152921
2.3622	8.242554653
2.3876	8.464965733
2.413	19.14069761
2.4384	8.705169701
2.4638	19.31417825
2.4892	9.154440084
2.5146	19.67893242
2.54	9.278990289
2.5527	9.528090699
2.5654	19.75010397
2.5908	9.599262245
2.6162	20.03034193
2.6373582	10.02629152
2.667	10.05298085
2.6924	10.36435636
2.7178	20.19492613
2.7432	10.63124966
2.7559	5.853859645
2.7686	20.34171745
2.794	10.97821095
2.8194	20.65754118
2.8448	11.40524022
2.8956	20.84436649
2.921	11.82337305
2.9464	21.0534329
2.9972	12.15254145
3.0141418	6.88584706
3.0226	21.29808509
3.048	12.40164186
3.0734	21.39594597
3.1242	12.8820498
3.1496	13.08666799
3.175	21.62725349
3.2004	13.52704193
3.2512	21.83187169
3.2596582	7.971213134
3.2766	22.03648988
3.3274	22.2677974
3.3528	14.28768783
3.3782	14.54568468
3.4036	22.45462271
3.429	19.79013797
3.4544	22.54803537
3.4967418	15.32857169
3.5306	22.81492866
3.5475418	9.154440084
3.556	22.96171998
3.5814	15.84456539
3.6322	23.1307524
3.683	16.41838598
3.7084	23.40654214
3.7338	16.73865794
3.7719	23.46436902
3.7846	17.06337812
3.8481	10.36435636
3.8608	23.64674611
3.8862	23.98481095
3.9116	18.10426197
3.9878	24.04263783
4.0132	24.26060069
4.064	19.12735294
4.0894	24.42518489
4.1148	19.64334665
4.1656	24.52304576
4.1698418	11.5653762
4.191	24.77214617
4.2418	20.41733721
4.2672	24.87445527
4.2926	21.01339891
4.318	25.1280039
4.3688	25.28813988
4.3942	24.50525288
4.4196	21.43153174
4.445	25.51944741
4.5212	25.68403161
4.5466	22.5346907
4.5974	25.85751225
4.6228	25.96426957
4.6736	26.15109487
4.699	25.69737627
4.7117	25.13245212
4.7244	26.25340397
4.7498	25.59951539
4.7752	25.52834385
4.7879	25.36375965
4.7921418	25.22586478
4.8006	25.3948972
4.826	25.02569481
4.8514	25.11021102
4.8768	24.9411786
5.1054	16.18263024
5.3848	17.69502558
5.6091582	27.45442381
5.6896	19.20297271
5.8674	29.84756704
6.0198	20.67533407
6.2484	22.15214364
6.4008	31.46227148
6.5786	23.86470896
6.8326	25.61286006
6.9342	32.95687395
7.2136	27.32542538
7.4422	28.63765076
7.5438	34.62495705
7.9163418	30.04773701
8.0645	32.20067627
8.1026	36.15959351
8.1110582	34.49595862
8.6614	37.57412798
8.7376	36.44427969
10.0584	40.07847675
10.1092	39.90499611
18.2753	57.12406198
18.796	59.26365658
18.9060582	57.76015767
19.8374	8.091315118
27.2796	64.93069091
27.9611582	61.27870097
28.1093418	60.01540603
36.83	61.41659584
37.7952	60.32678154
38.1254	13.70941902
38.5318	66.22067518
54.9698418	64.02770193
55.4482	70.31303907
55.4736	62.11051841
73.8632	70.21962641
75.2602	64.00990904
76.7588	66.60767046
92.3501582	69.24101766
92.9936418	63.84087662
96.3422	65.63795815
109.982	65.91819611
112.6998	46.27040124
114.3	62.32403305
